Epoch,Generator Loss,Discriminator Loss
1,28.645735,1.2051749
2,20.008396,0.9861418
3,18.606941,0.81750727
4,17.739769,0.8656146
5,17.158833,0.9199912
6,16.923546,0.77136695
7,16.539906,0.7055598
8,16.411064,0.5856887
9,16.164904,0.61647797
10,16.542576,0.5607991
11,16.22004,0.42627218
12,15.99522,0.4520122
13,16.190485,0.4451049
14,15.971034,0.39962864
15,16.35041,0.47030085
16,15.916668,0.26680958
17,16.353672,0.20753646
18,15.861886,0.3662544
19,15.916701,0.31519726
20,15.79152,0.41116506
21,14.692158,0.57560974
22,15.539938,0.14670253
23,15.8415785,0.49970636
24,12.100301,1.297565
25,11.943915,1.12943
26,11.929984,1.0700092
27,11.916405,1.0074421
28,11.870919,0.98692244
29,12.292226,0.82061446
30,12.554237,0.57748187
31,13.342445,0.285221
32,12.674497,1.0866376
33,10.243982,1.2010374
34,10.279297,1.1684371
35,10.318553,1.1869347
36,10.02717,1.1654336
37,10.048132,1.1518159
38,10.008093,1.1269767
39,9.846146,1.1340469
40,9.759818,1.1040614
41,10.058556,1.1096265
42,9.791589,1.0889711
43,9.9542465,0.89873177
44,10.988535,0.8343024
45,9.31694,1.1338726
46,9.392836,1.105183
47,9.765342,0.7933351
48,11.032686,0.47302562
49,12.325525,0.17170948
50,11.75198,0.41043073
51,12.429243,0.10677462
52,10.536427,1.1201451
53,8.30784,1.3001566
54,8.22419,1.2275004
55,8.095356,1.2218474
56,8.186913,1.1677527
57,8.124836,1.1660526
58,8.148804,1.1555667
59,8.338511,1.002207
60,9.28811,0.7401719
61,11.31147,0.17480312
62,12.004899,0.08058053
63,9.902656,1.2812475
64,7.3641424,1.3808074
65,7.2198877,1.322457
66,7.177623,1.2945286
67,7.1534815,1.2530782
68,7.192317,1.2475
69,7.09795,1.2063637
70,7.162784,1.2058015
71,7.2266436,1.1956832
72,7.2236757,1.1696055
73,7.385596,1.1299996
74,7.3400736,1.0532734
75,8.312721,0.73360646
76,8.27697,1.041743
77,10.146217,0.20268436
78,9.345748,0.88334334
79,7.2356358,0.98496526
80,10.354128,0.09647989
81,10.368099,0.6242317
82,6.601778,1.3025877
83,8.386149,0.47156814
84,10.529583,0.08553
85,11.067157,0.0561115
86,11.421089,0.03482763
87,11.44019,0.039089683
88,10.020517,0.8441676
89,6.1376057,1.4089923
90,5.9322624,1.3864397
91,5.833211,1.3675352
92,5.85549,1.3436794
93,5.8144493,1.329398
94,5.6881742,1.3198814
95,5.675235,1.3144009
96,5.670191,1.317368
97,5.700418,1.3158321
98,5.6496296,1.2974606
99,5.751713,1.2885559
100,5.6790056,1.2941093
